CAN,USA
CAN,USA
CAN,USA
CAN,USA
CHN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IRL,USA
IND,USA
JPN,USA
KOR,USA
KOR,USA
MEX,USA
NLD,USA
TWN,USA
CAN,USA
CAN,USA
CAN,USA
CAN,USA
CHN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IRL,USA
IND,USA
JPN,USA
KOR,USA
KOR,USA
MEX,USA
NLD,USA
TWN,USA
CAN,USA
CAN,USA
CAN,USA
CAN,USA
CHN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IRL,USA
IND,USA
JPN,USA
KOR,USA
KOR,USA
MEX,USA
NLD,USA
TWN,USA
CAN,USA
CAN,USA
CAN,USA
CAN,USA
CHN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IRL,USA
IND,USA
JPN,USA
KOR,USA
KOR,USA
MEX,USA
NLD,USA
TWN,USA
CAN,USA
CAN,USA
CAN,USA
CAN,USA
CHN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IRL,USA
IND,USA
JPN,USA
KOR,USA
KOR,USA
MEX,USA
NLD,USA
TWN,USA
CAN,USA
CAN,USA
CAN,USA
CAN,USA
CHN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IRL,USA
IND,USA
JPN,USA
KOR,USA
KOR,USA
MEX,USA
NLD,USA
TWN,USA
CAN,USA
CAN,USA
CAN,USA
CAN,USA
CHN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IRL,USA
IND,USA
JPN,USA
KOR,USA
KOR,USA
MEX,USA
NLD,USA
TWN,USA
CAN,USA
CAN,USA
CAN,USA
CAN,USA
CHN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IRL,USA
IND,USA
JPN,USA
KOR,USA
KOR,USA
MEX,USA
NLD,USA
TWN,USA
CAN,USA
CAN,USA
CAN,USA
CAN,USA
CHN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IRL,USA
IND,USA
JPN,USA
KOR,USA
KOR,USA
MEX,USA
NLD,USA
TWN,USA
CAN,USA
TWN,USA
TWN,USA
CAN,USA
TWN,USA
TWN,USA
DEU,USA
CHE,USA
GBR,USA
DEU,USA
FRA,USA
IND,USA
DEU,USA
FRA,USA
IND,USA
DEU,USA
FRA,USA
IND,USA
DEU,USA
FRA,USA
IND,USA
DEU,USA
FRA,USA
IND,USA
DEU,USA
FRA,USA
IND,USA
CHN,USA
CHN,USA
KOR,USA
CAN,USA
CAN,USA
BRA,USA
DEU,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IND,USA
MEX,USA
MEX,USA
MEX,USA
MEX,USA
BRA,USA
DEU,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IND,USA
MEX,USA
MEX,USA
MEX,USA
MEX,USA
BRA,USA
DEU,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IND,USA
MEX,USA
MEX,USA
MEX,USA
MEX,USA
BRA,USA
DEU,USA
GBR,USA
GBR,USA
GBR,USA
GBR,USA
IND,USA
MEX,USA
MEX,USA
MEX,USA
MEX,USA
DEU,USA
DEU,USA
DEU,USA
GBR,USA
JPN,USA
JPN,USA
JPN,USA
KOR,USA
KOR,USA
DEU,USA
DEU,USA
DEU,USA
GBR,USA
JPN,USA
JPN,USA
JPN,USA
KOR,USA
KOR,USA
DEU,USA
DEU,USA
DEU,USA
GBR,USA
JPN,USA
JPN,USA
JPN,USA
KOR,USA
KOR,USA
JPN,USA
JPN,USA
JPN,USA
CAN,USA
CAN,USA
CAN,USA
DEU,USA
DEU,USA
FRA,USA
GBR,USA
GBR,USA
GBR,USA
JPN,USA
MEX,USA
MEX,USA
NLD,USA
GBR,USA
IRL,USA
IRL,USA
CAN,USA
CAN,USA
GBR,USA
GBR,USA
GBR,USA
ITA,USA
NLD,USA
CAN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
FRA,USA
GBR,USA
IND,USA
IND,USA
IND,USA
IND,USA
JPN,USA
JPN,USA
JPN,USA
JPN,USA
KOR,USA
MEX,USA
MEX,USA
MEX,USA
NLD,USA
TWN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
FRA,USA
GBR,USA
IND,USA
IND,USA
IND,USA
IND,USA
JPN,USA
JPN,USA
JPN,USA
JPN,USA
KOR,USA
MEX,USA
MEX,USA
MEX,USA
NLD,USA
TWN,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
DEU,USA
FRA,USA
FRA,USA
FRA,USA
GBR,USA
IND,USA
IND,USA
IND,USA
IND,USA
JPN,USA
JPN,USA
JPN,USA
